bus_name,base_kv,vm_a_pu,va_a_deg,vm_b_pu,va_b_deg,vm_c_pu,va_c_deg
401,0.416,1.0354,-29.2,1.0031,-150.4,1.0566,89.4
402,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
403,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
404,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
405,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
406,0.416,1.0371,-29.2,1.0039,-150.3,1.0559,89.3
407,0.416,1.0353,-29.2,1.0031,-150.4,1.0567,89.4
408,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
409,0.416,1.0419,-29.3,1.0023,-150.2,1.0546,89.2
410,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
411,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
412,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
413,0.416,1.0351,-29.2,1.003,-150.4,1.0567,89.4
414,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
415,0.416,1.0421,-29.3,1.0013,-150.2,1.0547,89.2
416,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
417,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
418,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
419,0.416,1.035,-29.2,1.0029,-150.4,1.0568,89.4
420,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
421,0.416,1.0422,-29.3,1.0011,-150.2,1.0547,89.2
422,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
423,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
424,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
425,0.416,1.0347,-29.2,1.0028,-150.4,1.0569,89.4
426,0.416,1.035,-29.2,1.0029,-150.4,1.0568,89.4
427,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
428,0.416,1.0422,-29.3,1.001,-150.2,1.0547,89.2
429,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
430,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
431,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
432,0.416,1.0338,-29.2,1.0023,-150.4,1.0573,89.4
433,0.416,1.0347,-29.2,1.0028,-150.4,1.0569,89.4
434,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
435,0.416,1.0422,-29.3,1.001,-150.2,1.0547,89.2
436,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
437,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
438,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
439,0.416,1.0324,-29.1,1.0016,-150.4,1.0579,89.4
440,0.416,1.0338,-29.2,1.0023,-150.4,1.0573,89.4
441,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
442,0.416,1.0422,-29.3,1.001,-150.2,1.0547,89.2
443,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
444,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
445,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
446,0.416,1.0315,-29.1,1.0012,-150.4,1.0583,89.4
447,0.416,1.0324,-29.1,1.0016,-150.4,1.0579,89.4
448,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
449,0.416,1.0422,-29.3,1.001,-150.2,1.0547,89.2
450,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
451,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
452,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
453,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
454,0.416,1.0315,-29.1,1.0012,-150.4,1.0583,89.4
455,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
456,0.416,1.0422,-29.3,1.0009,-150.2,1.0547,89.2
457,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
458,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
459,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
460,0.416,1.0304,-29.1,1.0006,-150.5,1.0588,89.4
461,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
462,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
463,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
464,0.416,1.0422,-29.3,1.0009,-150.2,1.0547,89.2
465,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
466,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
467,0.416,1.0294,-29.1,1.0001,-150.5,1.0592,89.4
468,0.416,1.0304,-29.1,1.0006,-150.5,1.0588,89.4
469,0.416,1.0304,-29.1,1.0006,-150.5,1.0588,89.4
470,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
471,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
472,0.416,1.0422,-29.3,1.0009,-150.2,1.0547,89.2
473,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
474,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
475,0.416,1.0291,-29,0.99993,-150.5,1.0593,89.4
476,0.416,1.0294,-29.1,1.0001,-150.5,1.0592,89.4
477,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
478,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
479,0.416,1.0422,-29.3,1.0009,-150.2,1.0547,89.2
480,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
481,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
482,0.416,1.0284,-29,0.99955,-150.5,1.0596,89.4
483,0.416,1.0291,-29,0.99993,-150.5,1.0593,89.4
484,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
485,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
486,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
487,0.416,1.0422,-29.3,1.0008,-150.2,1.0547,89.2
488,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
489,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
490,0.416,1.0274,-29,0.99902,-150.5,1.0601,89.4
491,0.416,1.0284,-29,0.99955,-150.5,1.0596,89.4
492,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
493,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
494,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
495,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
496,0.416,1.0423,-29.3,1.0008,-150.2,1.0547,89.2
497,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
498,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
499,0.416,1.0268,-29,0.99869,-150.5,1.0604,89.4
500,0.416,1.0274,-29,0.99902,-150.5,1.0601,89.4
501,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
502,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
503,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
504,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
505,0.416,1.0426,-29.2,0.99931,-150.2,1.0549,89.2
506,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
507,0.416,1.0414,-29.3,1.0049,-150.2,1.0543,89.3
508,0.416,1.0266,-29,0.99864,-150.5,1.0604,89.4
509,0.416,1.0268,-29,0.99869,-150.5,1.0604,89.4
510,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
511,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
512,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
513,0.416,1.0426,-29.2,0.99785,-150.2,1.0549,89.2
514,0.416,1.0426,-29.2,0.99925,-150.2,1.0549,89.2
515,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
516,0.416,1.0267,-29,0.99845,-150.5,1.0604,89.4
517,0.416,1.0266,-29,0.99864,-150.5,1.0604,89.4
518,0.416,1.0254,-29,0.99864,-150.6,1.0604,89.4
519,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
520,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
521,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
522,0.416,1.0426,-29.2,0.99656,-150.2,1.0549,89.2
523,0.416,1.0425,-29.2,0.99921,-150.2,1.0549,89.2
524,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
525,0.416,1.0268,-29,0.99831,-150.5,1.0604,89.4
526,0.416,1.0267,-29,0.99845,-150.5,1.0604,89.4
527,0.416,1.0247,-29,0.99864,-150.6,1.0604,89.4
528,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
529,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
530,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
531,0.416,1.0425,-29.2,0.9992,-150.2,1.0549,89.2
532,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
533,0.416,1.0268,-29,0.99811,-150.5,1.0604,89.4
534,0.416,1.0268,-29,0.99831,-150.5,1.0604,89.4
535,0.416,1.0241,-28.9,0.99864,-150.6,1.0604,89.4
536,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
537,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
538,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
539,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
540,0.416,1.0425,-29.2,0.9992,-150.2,1.0549,89.2
541,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
542,0.416,1.0269,-29,0.99798,-150.5,1.0604,89.4
543,0.416,1.0268,-29,0.99811,-150.5,1.0604,89.4
544,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
545,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
546,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
547,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
548,0.416,1.0425,-29.2,0.9992,-150.2,1.0549,89.2
549,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
550,0.416,1.027,-29,0.9976,-150.5,1.0605,89.4
551,0.416,1.0269,-29,0.99798,-150.5,1.0604,89.4
552,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
553,0.416,1.0231,-28.9,0.99865,-150.6,1.0604,89.4
554,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
555,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
556,0.416,1.0417,-29.3,1.0037,-150.2,1.0544,89.3
557,0.416,1.0425,-29.2,0.99919,-150.2,1.0549,89.2
558,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
559,0.416,1.0271,-29,0.99733,-150.5,1.0605,89.4
560,0.416,1.027,-29,0.9976,-150.5,1.0605,89.4
561,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
562,0.416,1.0225,-28.9,0.99865,-150.6,1.0604,89.4
563,0.416,1.029,-29,0.99993,-150.5,1.0593,89.4
564,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
565,0.416,1.0425,-29.2,0.99919,-150.2,1.0549,89.2
566,0.416,1.0418,-29.3,1.003,-150.2,1.0545,89.3
567,0.416,1.0271,-29,0.99728,-150.5,1.0605,89.4
568,0.416,1.0271,-29,0.99733,-150.5,1.0605,89.4
569,0.416,1.0271,-29,0.99723,-150.5,1.0605,89.4
570,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
571,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
572,0.416,1.0425,-29.2,0.99918,-150.2,1.0549,89.2
573,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
574,0.416,1.0271,-29,0.99728,-150.5,1.0605,89.4
575,0.416,1.0271,-29,0.99722,-150.5,1.0605,89.4
576,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
577,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
578,0.416,1.0425,-29.2,0.99917,-150.2,1.0549,89.2
579,0.416,1.0272,-29,0.99695,-150.5,1.0605,89.4
580,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
581,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
582,0.416,1.0271,-29,0.99721,-150.5,1.0605,89.4
583,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
584,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
585,0.416,1.0425,-29.2,0.999,-150.2,1.0549,89.2
586,0.416,1.0425,-29.2,0.99914,-150.2,1.0549,89.2
587,0.416,1.0273,-29,0.99672,-150.5,1.0605,89.4
588,0.416,1.0272,-29,0.99695,-150.5,1.0605,89.4
589,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
590,0.416,1.0271,-29,0.9972,-150.5,1.0605,89.4
591,0.416,1.0239,-28.9,0.99865,-150.6,1.0604,89.4
592,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
593,0.416,1.0425,-29.2,0.99899,-150.2,1.0549,89.2
594,0.416,1.0425,-29.2,0.999,-150.2,1.0549,89.2
595,0.416,1.0275,-28.9,0.99627,-150.5,1.0606,89.3
596,0.416,1.0273,-29,0.99672,-150.5,1.0605,89.4
597,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
598,0.416,1.0271,-29,0.99712,-150.5,1.0605,89.4
599,0.416,1.0238,-28.9,0.99865,-150.6,1.0604,89.4
600,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
601,0.416,1.0425,-29.2,0.99899,-150.2,1.0549,89.2
602,0.416,1.0425,-29.2,0.999,-150.2,1.0548,89.2
603,0.416,1.0424,-29.2,0.99883,-150.2,1.0549,89.2
604,0.416,1.0276,-28.9,0.99586,-150.5,1.0606,89.3
605,0.416,1.0275,-28.9,0.99627,-150.5,1.0606,89.3
606,0.416,1.0275,-28.9,0.99627,-150.5,1.0606,89.3
607,0.416,1.0273,-29,0.99672,-150.5,1.0604,89.4
608,0.416,1.0273,-29,0.99672,-150.5,1.0605,89.4
609,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
610,0.416,1.0271,-29,0.99708,-150.5,1.0605,89.4
611,0.416,1.0236,-28.9,0.99865,-150.6,1.0604,89.4
612,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
613,0.416,1.0425,-29.2,0.99898,-150.2,1.0549,89.2
614,0.416,1.0425,-29.2,0.999,-150.2,1.0547,89.2
615,0.416,1.0424,-29.2,0.99866,-150.2,1.055,89.2
616,0.416,1.0276,-28.9,0.99537,-150.5,1.0606,89.3
617,0.416,1.0276,-28.9,0.99586,-150.5,1.0606,89.3
618,0.416,1.0276,-28.9,0.99586,-150.5,1.0606,89.3
619,0.416,1.0273,-29,0.99672,-150.5,1.0604,89.4
620,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
621,0.416,1.0271,-29,0.99706,-150.5,1.0605,89.4
622,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
623,0.416,1.0425,-29.2,0.99898,-150.2,1.0549,89.2
624,0.416,1.0424,-29.2,0.99865,-150.2,1.055,89.2
625,0.416,1.0424,-29.2,0.99862,-150.2,1.055,89.2
626,0.416,1.0276,-28.9,0.9947,-150.5,1.0606,89.3
627,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
628,0.416,1.0271,-29,0.99705,-150.5,1.0605,89.4
629,0.416,1.0312,-29.1,1.001,-150.5,1.0584,89.4
630,0.416,1.0425,-29.2,0.99897,-150.2,1.0549,89.2
631,0.416,1.0424,-29.2,0.99865,-150.2,1.055,89.2
632,0.416,1.0424,-29.2,0.99861,-150.2,1.055,89.2
633,0.416,1.0276,-28.9,0.99451,-150.5,1.0606,89.3
634,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
635,0.416,1.0271,-29,0.99703,-150.5,1.0605,89.4
636,0.416,1.0425,-29.2,0.99896,-150.2,1.0549,89.2
637,0.416,1.0424,-29.2,0.99865,-150.2,1.055,89.2
638,0.416,1.0424,-29.2,0.99861,-150.2,1.055,89.2
639,0.416,1.0276,-28.9,0.99386,-150.5,1.0606,89.3
640,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
641,0.416,1.0271,-29,0.99699,-150.5,1.0605,89.4
642,0.416,1.0425,-29.2,0.99895,-150.2,1.0549,89.2
643,0.416,1.0424,-29.2,0.99864,-150.2,1.055,89.2
644,0.416,1.0424,-29.2,0.9986,-150.2,1.055,89.2
645,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
646,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
647,0.416,1.0425,-29.2,0.99894,-150.2,1.0549,89.2
648,0.416,1.0424,-29.2,0.99863,-150.2,1.055,89.2
649,0.416,1.0424,-29.2,0.9986,-150.2,1.055,89.2
650,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
651,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
652,0.416,1.0425,-29.2,0.99894,-150.2,1.0549,89.2
653,0.416,1.0424,-29.2,0.99863,-150.2,1.055,89.2
654,0.416,1.0424,-29.2,0.99859,-150.2,1.055,89.2
655,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
656,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
657,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
658,0.416,1.0425,-29.2,0.99893,-150.2,1.0549,89.2
659,0.416,1.0424,-29.2,0.99863,-150.2,1.055,89.2
660,0.416,1.0424,-29.2,0.99858,-150.2,1.055,89.2
661,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
662,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
663,0.416,1.0271,-29,0.99698,-150.5,1.0605,89.4
664,0.416,1.0425,-29.2,0.99892,-150.2,1.0549,89.2
665,0.416,1.0424,-29.2,0.99862,-150.2,1.055,89.2
666,0.416,1.0424,-29.2,0.99857,-150.2,1.055,89.2
667,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
668,0.416,1.0271,-29,0.99697,-150.5,1.0605,89.4
669,0.416,1.0271,-29,0.99697,-150.5,1.0605,89.4
670,0.416,1.0425,-29.2,0.99891,-150.2,1.0549,89.2
671,0.416,1.0424,-29.2,0.99862,-150.2,1.055,89.2
672,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
673,0.416,1.0424,-29.2,0.99855,-150.2,1.055,89.2
674,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
675,0.416,1.0271,-29,0.99696,-150.5,1.0605,89.4
676,0.416,1.0271,-29,0.99696,-150.5,1.0605,89.4
677,0.416,1.0425,-29.2,0.99891,-150.2,1.0549,89.2
678,0.416,1.0424,-29.2,0.99861,-150.2,1.055,89.2
679,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
680,0.416,1.0424,-29.2,0.99836,-150.2,1.055,89.2
681,0.416,1.0271,-29,0.99727,-150.5,1.0605,89.4
682,0.416,1.0271,-29,0.99685,-150.5,1.0605,89.4
683,0.416,1.0425,-29.2,0.9989,-150.2,1.0549,89.2
684,0.416,1.0424,-29.2,0.99859,-150.2,1.055,89.2
685,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
686,0.416,1.0424,-29.2,0.99823,-150.2,1.055,89.2
687,0.416,1.0425,-29.2,0.9989,-150.2,1.0549,89.2
688,0.416,1.0424,-29.2,0.99855,-150.2,1.055,89.2
689,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
690,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
691,0.416,1.0425,-29.2,0.99785,-150.2,1.055,89.1
692,0.416,1.0425,-29.2,0.99889,-150.2,1.0549,89.2
693,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
694,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
695,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
696,0.416,1.0425,-29.2,0.99777,-150.2,1.055,89.1
697,0.416,1.0425,-29.2,0.99778,-150.2,1.0551,89.1
698,0.416,1.0425,-29.2,0.99888,-150.2,1.0549,89.2
699,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
700,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
701,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
702,0.416,1.0425,-29.2,0.99772,-150.2,1.055,89.1
703,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
704,0.416,1.0425,-29.2,0.99886,-150.2,1.0549,89.2
705,0.416,1.0423,-29.2,0.99857,-150.2,1.055,89.2
706,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
707,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
708,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
709,0.416,1.0425,-29.2,0.99882,-150.2,1.0549,89.2
710,0.416,1.0421,-29.2,0.99858,-150.2,1.055,89.2
711,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
712,0.416,1.0427,-29.2,0.99691,-150.2,1.0552,89.1
713,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
714,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
715,0.416,1.0425,-29.2,0.99882,-150.2,1.0549,89.2
716,0.416,1.0419,-29.2,0.99858,-150.2,1.055,89.2
717,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
718,0.416,1.0428,-29.2,0.99649,-150.2,1.0552,89.1
719,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
720,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
721,0.416,1.0425,-29.2,0.99882,-150.2,1.0549,89.2
722,0.416,1.0419,-29.2,0.99858,-150.2,1.055,89.2
723,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
724,0.416,1.0428,-29.2,0.99632,-150.2,1.0552,89.1
725,0.416,1.0428,-29.2,0.99644,-150.2,1.0552,89.1
726,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
727,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
728,0.416,1.0425,-29.2,0.99881,-150.2,1.0549,89.2
729,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
730,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
731,0.416,1.0429,-29.2,0.9961,-150.2,1.0553,89.1
732,0.416,1.0428,-29.2,0.99644,-150.2,1.0552,89.1
733,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
734,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
735,0.416,1.0425,-29.2,0.99881,-150.2,1.0549,89.2
736,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
737,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
738,0.416,1.043,-29.2,0.99584,-150.2,1.0553,89.1
739,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
740,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
741,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
742,0.416,1.0425,-29.2,0.99881,-150.2,1.0549,89.2
743,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
744,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
745,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
746,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
747,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
748,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
749,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
750,0.416,1.0425,-29.2,0.99881,-150.2,1.0549,89.2
751,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
752,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
753,0.416,1.043,-29.2,0.99555,-150.2,1.0553,89.1
754,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
755,0.416,1.0428,-29.2,0.99642,-150.2,1.0552,89.1
756,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
757,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
758,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
759,0.416,1.0425,-29.2,0.9988,-150.2,1.0549,89.2
760,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
761,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
762,0.416,1.0431,-29.2,0.99544,-150.2,1.0553,89.1
763,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
764,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
765,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
766,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
767,0.416,1.0425,-29.2,0.9988,-150.2,1.0549,89.2
768,0.416,1.0418,-29.2,0.99858,-150.2,1.055,89.2
769,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
770,0.416,1.0431,-29.2,0.99518,-150.2,1.0554,89.1
771,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
772,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
773,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
774,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
775,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
776,0.416,1.0425,-29.2,0.99878,-150.2,1.0549,89.2
777,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
778,0.416,1.0424,-29.2,0.99824,-150.2,1.0549,89.2
779,0.416,1.0432,-29.2,0.99496,-150.2,1.0554,89.1
780,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
781,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
782,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
783,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
784,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
785,0.416,1.0425,-29.2,0.99862,-150.2,1.0549,89.2
786,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
787,0.416,1.0432,-29.1,0.99479,-150.2,1.0554,89.1
788,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
789,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
790,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
791,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
792,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
793,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
794,0.416,1.0433,-29.1,0.99464,-150.2,1.0554,89.1
795,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
796,0.416,1.0428,-29.2,0.99643,-150.2,1.0552,89.1
797,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
798,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
799,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
800,0.416,1.0417,-29.2,0.99858,-150.2,1.055,89.2
801,0.416,1.0433,-29.1,0.99464,-150.2,1.0554,89.1
802,0.416,1.0433,-29.1,0.99456,-150.2,1.0554,89.1
803,0.416,1.043,-29.2,0.99563,-150.2,1.0553,89.1
804,0.416,1.0428,-29.2,0.99642,-150.2,1.0552,89.1
805,0.416,1.0426,-29.2,0.99731,-150.2,1.0551,89.1
806,0.416,1.0425,-29.2,0.99765,-150.2,1.0551,89.1
